scientificName,cameraheight,cameratype,contact_species,sum_effortday_all,species_traprate,effort_cameraheight,effort_cameraheight_cameratype,contact_species_cameraheight,contact_species_camereaheight_cameratype
Sus scrofa,6.5,Browning,630,32144,0.0195993031358885,555,139,7,3
Elephas maximus,4.5,Browning,233,32144,0.0072486311597809855,320,271,2,1
Rusa unicolor,7.16,Browning,587,32144,0.018261572921851668,827,827,4,4
Rhinoceros unicornis,7.16,Browning,232,32144,0.007217521154803385,827,827,1,1
Hystrix indica,7.15,Browning,117,32144,0.003639870582379293,843,843,1,1
Macaca mulatta,6.5,Browning,1927,32144,0.05994897959183673,555,139,7,2
Rusa unicolor,4.5,Browning,587,32144,0.018261572921851668,320,271,1,1
Semnopithecus schistaceus,8.1,Browning,1144,32144,0.03558984569437531,1780,1125,3,3
Rusa unicolor,7.1,Hiperfire1,587,32144,0.018261572921851668,4077,871,55,1
Rusa unicolor,7.25,Browning,587,32144,0.018261572921851668,1516,951,1,1
Sus scrofa,8.1,Hiperfire1,630,32144,0.0195993031358885,1780,655,50,1
Sus scrofa,7.8,Hiperfire2,630,32144,0.0195993031358885,1731,452,30,1
Rusa unicolor,7.8,Hiperfire2,587,32144,0.018261572921851668,1731,452,26,8
Canis aureus,7.08,Browning,91,32144,0.0028310104529616726,608,281,1,1
Panthera tigris,7.08,Browning,436,32144,0.013563962170233947,608,281,8,1
Rusa unicolor,7.08,Hiperfire2,587,32144,0.018261572921851668,608,327,5,4
Macaca mulatta,7.08,Hiperfire2,1927,32144,0.05994897959183673,608,327,6,1
Hystrix indica,7.8,Hiperfire2,117,32144,0.003639870582379293,1731,452,5,1
Panthera tigris,7.3,Hiperfire1,436,32144,0.013563962170233947,1294,496,11,1
Elephas maximus,7.25,Hiperfire1,233,32144,0.0072486311597809855,1516,517,13,1
Hystrix indica,7.3,Hiperfire1,117,32144,0.003639870582379293,1294,496,8,1
Axis porcinus,7.3,Hiperfire1,246,32144,0.007653061224489796,1294,496,3,1
Elephas maximus,7.3,Hiperfire1,233,32144,0.0072486311597809855,1294,496,1,1
Axis axis,4.5,Hiperfire2,23308,32144,0.7251119960179193,320,49,58,1
Axis porcinus,4.5,Hiperfire2,246,32144,0.007653061224489796,320,49,8,3
Sus scrofa,4.5,Hiperfire2,630,32144,0.0195993031358885,320,49,1,1
Elephas maximus,4.5,Hiperfire2,233,32144,0.0072486311597809855,320,49,2,1
Macaca mulatta,6.5,Hiperfire1,1927,32144,0.05994897959183673,555,416,7,5
Semnopithecus schistaceus,7.5,Hiperfire2,1144,32144,0.03558984569437531,5595,1106,59,4
Muntiacus muntjak,6.5,Hiperfire1,709,32144,0.022056993529118964,555,416,1,1
Rhinoceros unicornis,7.8,Browning,232,32144,0.007217521154803385,1731,1279,1,1
Hystrix indica,7.8,Browning,117,32144,0.003639870582379293,1731,1279,5,4
